"item","condition","response","subject","group_G","type","ambiguity_G","verb_G","order","verb","group","prime_target"
"27","E1I27D1",0,"Native 3","Native","Experimental","Unambiguous","Same",11,-1,-1,"Unambiguous/Unambiguous"
"25","E5I25D1",0,"Native 3","Native","Experimental","Ambiguous","Different",12,1,-1,"Unambiguous/Ambiguous"
"21","E1I21D1",1,"Native 3","Native","Experimental","Unambiguous","Same",13,-1,-1,"Unambiguous/Unambiguous"
"23","E3I23D1",1,"Native 3","Native","Experimental","Ambiguous","Same",14,-1,-1,"Ambiguous/Ambiguous"
"22","E2I22D1",1,"Native 3","Native","Experimental","Ambiguous","Same",15,-1,-1,"Unambiguous/Ambiguous"
"24","E4I24D1",0,"Native 3","Native","Experimental","Unambiguous","Different",16,1,-1,"Unambiguous/Unambiguous"
"19","E5I19D1",0,"Native 3","Native","Experimental","Ambiguous","Different",17,1,-1,"Unambiguous/Ambiguous"
"20","E6I20D1",0,"Native 3","Native","Experimental","Ambiguous","Different",18,1,-1,"Ambiguous/Ambiguous"
"13","E5I13D1",1,"Native 3","Native","Experimental","Ambiguous","Different",19,1,-1,"Unambiguous/Ambiguous"
"16","E2I16D1",1,"Native 3","Native","Experimental","Ambiguous","Same",20,-1,-1,"Unambiguous/Ambiguous"
"18","E4I18D1",1,"Native 3","Native","Experimental","Unambiguous","Different",21,1,-1,"Unambiguous/Unambiguous"
"15","E1I15D1",1,"Native 3","Native","Experimental","Unambiguous","Same",22,-1,-1,"Unambiguous/Unambiguous"
"14","E6I14D1",1,"Native 3","Native","Experimental","Ambiguous","Different",23,1,-1,"Ambiguous/Ambiguous"
"17","E3I17D1",1,"Native 3","Native","Experimental","Ambiguous","Same",24,-1,-1,"Ambiguous/Ambiguous"
"7","E5I7D1",1,"Native 3","Native","Experimental","Ambiguous","Different",25,1,-1,"Unambiguous/Ambiguous"
"10","E2I10D1",1,"Native 3","Native","Experimental","Ambiguous","Same",26,-1,-1,"Unambiguous/Ambiguous"
"8","E6I8D1",1,"Native 3","Native","Experimental","Ambiguous","Different",27,1,-1,"Ambiguous/Ambiguous"
"9","E1I9D1",1,"Native 3","Native","Experimental","Unambiguous","Same",28,-1,-1,"Unambiguous/Unambiguous"
"12","E4I12D1",1,"Native 3","Native","Experimental","Unambiguous","Different",29,1,-1,"Unambiguous/Unambiguous"
"11","E3I11D1",1,"Native 3","Native","Experimental","Ambiguous","Same",30,-1,-1,"Ambiguous/Ambiguous"
"2","E6I2D1",1,"Native 3","Native","Experimental","Ambiguous","Different",31,1,-1,"Ambiguous/Ambiguous"
"3","E1I3D1",1,"Native 3","Native","Experimental","Unambiguous","Same",32,-1,-1,"Unambiguous/Unambiguous"
"6","E4I6D1",1,"Native 3","Native","Experimental","Unambiguous","Different",33,1,-1,"Unambiguous/Unambiguous"
"5","E3I5D1",1,"Native 3","Native","Experimental","Ambiguous","Same",34,-1,-1,"Ambiguous/Ambiguous"
"4","E2I4D1",1,"Native 3","Native","Experimental","Ambiguous","Same",35,-1,-1,"Unambiguous/Ambiguous"
"1","E5I1D1",1,"Native 3","Native","Experimental","Ambiguous","Different",36,1,-1,"Unambiguous/Ambiguous"
"36","E4I36D1",0,"Native 4","Native","Experimental","Unambiguous","Different",1,1,-1,"Unambiguous/Unambiguous"
"31","E5I31D1",0,"Native 4","Native","Experimental","Ambiguous","Different",2,1,-1,"Unambiguous/Ambiguous"
"32","E6I32D1",1,"Native 4","Native","Experimental","Ambiguous","Different",3,1,-1,"Ambiguous/Ambiguous"
"34","E2I34D1",1,"Native 4","Native","Experimental","Ambiguous","Same",4,-1,-1,"Unambiguous/Ambiguous"
"33","E1I33D1",1,"Native 4","Native","Experimental","Unambiguous","Same",5,-1,-1,"Unambiguous/Unambiguous"
"35","E3I35D1",1,"Native 4","Native","Experimental","Ambiguous","Same",6,-1,-1,"Ambiguous/Ambiguous"
"28","E2I28D1",0,"Native 4","Native","Experimental","Ambiguous","Same",7,-1,-1,"Unambiguous/Ambiguous"
"29","E3I29D1",1,"Native 4","Native","Experimental","Ambiguous","Same",8,-1,-1,"Ambiguous/Ambiguous"
"30","E4I30D1",1,"Native 4","Native","Experimental","Unambiguous","Different",9,1,-1,"Unambiguous/Unambiguous"
"26","E6I26D1",1,"Native 4","Native","Experimental","Ambiguous","Different",10,1,-1,"Ambiguous/Ambiguous"
"27","E1I27D1",1,"Native 4","Native","Experimental","Unambiguous","Same",11,-1,-1,"Unambiguous/Unambiguous"
"25","E5I25D1",1,"Native 4","Native","Experimental","Ambiguous","Different",12,1,-1,"Unambiguous/Ambiguous"
"21","E1I21D1",1,"Native 4","Native","Experimental","Unambiguous","Same",13,-1,-1,"Unambiguous/Unambiguous"
"23","E3I23D1",1,"Native 4","Native","Experimental","Ambiguous","Same",14,-1,-1,"Ambiguous/Ambiguous"
"22","E2I22D1",1,"Native 4","Native","Experimental","Ambiguous","Same",15,-1,-1,"Unambiguous/Ambiguous"
"24","E4I24D1",1,"Native 4","Native","Experimental","Unambiguous","Different",16,1,-1,"Unambiguous/Unambiguous"
"19","E5I19D1",1,"Native 4","Native","Experimental","Ambiguous","Different",17,1,-1,"Unambiguous/Ambiguous"
"20","E6I20D1",1,"Native 4","Native","Experimental","Ambiguous","Different",18,1,-1,"Ambiguous/Ambiguous"
"13","E5I13D1",1,"Native 4","Native","Experimental","Ambiguous","Different",19,1,-1,"Unambiguous/Ambiguous"
"16","E2I16D1",1,"Native 4","Native","Experimental","Ambiguous","Same",20,-1,-1,"Unambiguous/Ambiguous"
"18","E4I18D1",1,"Native 4","Native","Experimental","Unambiguous","Different",21,1,-1,"Unambiguous/Unambiguous"
"15","E1I15D1",1,"Native 4","Native","Experimental","Unambiguous","Same",22,-1,-1,"Unambiguous/Unambiguous"
"14","E6I14D1",1,"Native 4","Native","Experimental","Ambiguous","Different",23,1,-1,"Ambiguous/Ambiguous"
"17","E3I17D1",1,"Native 4","Native","Experimental","Ambiguous","Same",24,-1,-1,"Ambiguous/Ambiguous"
"7","E5I7D1",1,"Native 4","Native","Experimental","Ambiguous","Different",25,1,-1,"Unambiguous/Ambiguous"
"10","E2I10D1",1,"Native 4","Native","Experimental","Ambiguous","Same",26,-1,-1,"Unambiguous/Ambiguous"
"8","E6I8D1",1,"Native 4","Native","Experimental","Ambiguous","Different",27,1,-1,"Ambiguous/Ambiguous"
"9","E1I9D1",1,"Native 4","Native","Experimental","Unambiguous","Same",28,-1,-1,"Unambiguous/Unambiguous"
"12","E4I12D1",1,"Native 4","Native","Experimental","Unambiguous","Different",29,1,-1,"Unambiguous/Unambiguous"
"11","E3I11D1",1,"Native 4","Native","Experimental","Ambiguous","Same",30,-1,-1,"Ambiguous/Ambiguous"
"2","E6I2D1",1,"Native 4","Native","Experimental","Ambiguous","Different",31,1,-1,"Ambiguous/Ambiguous"
"3","E1I3D1",1,"Native 4","Native","Experimental","Unambiguous","Same",32,-1,-1,"Unambiguous/Unambiguous"
"6","E4I6D1",1,"Native 4","Native","Experimental","Unambiguous","Different",33,1,-1,"Unambiguous/Unambiguous"
"5","E3I5D1",1,"Native 4","Native","Experimental","Ambiguous","Same",34,-1,-1,"Ambiguous/Ambiguous"
"4","E2I4D1",1,"Native 4","Native","Experimental","Ambiguous","Same",35,-1,-1,"Unambiguous/Ambiguous"
"1","E5I1D1",1,"Native 4","Native","Experimental","Ambiguous","Different",36,1,-1,"Unambiguous/Ambiguous"
"36","E5I36D1",0,"Native 5","Native","Experimental","Ambiguous","Different",1,1,-1,"Unambiguous/Ambiguous"
"31","E6I31D1",1,"Native 5","Native","Experimental","Ambiguous","Different",2,1,-1,"Ambiguous/Ambiguous"
"32","E1I32D1",1,"Native 5","Native","Experimental","Unambiguous","Same",3,-1,-1,"Unambiguous/Unambiguous"
"34","E3I34D1",1,"Native 5","Native","Experimental","Ambiguous","Same",4,-1,-1,"Ambiguous/Ambiguous"
"33","E2I33D1",1,"Native 5","Native","Experimental","Ambiguous","Same",5,-1,-1,"Unambiguous/Ambiguous"
"35","E4I35D1",1,"Native 5","Native","Experimental","Unambiguous","Different",6,1,-1,"Unambiguous/Unambiguous"
"28","E3I28D1",1,"Native 5","Native","Experimental","Ambiguous","Same",7,-1,-1,"Ambiguous/Ambiguous"
"29","E4I29D1",1,"Native 5","Native","Experimental","Unambiguous","Different",8,1,-1,"Unambiguous/Unambiguous"
