"item","condition","response","subject","group_G","type","ambiguity_G","verb_G","order","verb","group","prime_target"
"14","E6I14D1",1,"Native 16","Native","Experimental","Ambiguous","Different",32,1,-1,"Ambiguous/Ambiguous"
"15","E1I15D1",1,"Native 16","Native","Experimental","Unambiguous","Same",33,-1,-1,"Unambiguous/Unambiguous"
"18","E4I18D1",1,"Native 16","Native","Experimental","Unambiguous","Different",34,1,-1,"Unambiguous/Unambiguous"
"16","E2I16D1",1,"Native 16","Native","Experimental","Ambiguous","Same",35,-1,-1,"Unambiguous/Ambiguous"
"13","E5I13D1",0,"Native 16","Native","Experimental","Ambiguous","Different",36,1,-1,"Unambiguous/Ambiguous"
"20","E1I20D1",1,"Native 17","Native","Experimental","Unambiguous","Same",1,-1,-1,"Unambiguous/Unambiguous"
"19","E6I19D1",1,"Native 17","Native","Experimental","Ambiguous","Different",2,1,-1,"Ambiguous/Ambiguous"
"24","E5I24D1",0,"Native 17","Native","Experimental","Ambiguous","Different",3,1,-1,"Unambiguous/Ambiguous"
"22","E3I22D1",0,"Native 17","Native","Experimental","Ambiguous","Same",4,-1,-1,"Ambiguous/Ambiguous"
"23","E4I23D1",1,"Native 17","Native","Experimental","Unambiguous","Different",5,1,-1,"Unambiguous/Unambiguous"
"21","E2I21D1",1,"Native 17","Native","Experimental","Ambiguous","Same",6,-1,-1,"Unambiguous/Ambiguous"
"25","E6I25D1",0,"Native 17","Native","Experimental","Ambiguous","Different",7,1,-1,"Ambiguous/Ambiguous"
"27","E2I27D1",0,"Native 17","Native","Experimental","Ambiguous","Same",8,-1,-1,"Unambiguous/Ambiguous"
"26","E1I26D1",1,"Native 17","Native","Experimental","Unambiguous","Same",9,-1,-1,"Unambiguous/Unambiguous"
"30","E5I30D1",1,"Native 17","Native","Experimental","Ambiguous","Different",10,1,-1,"Unambiguous/Ambiguous"
"29","E4I29D1",1,"Native 17","Native","Experimental","Unambiguous","Different",11,1,-1,"Unambiguous/Unambiguous"
"28","E3I28D1",1,"Native 17","Native","Experimental","Ambiguous","Same",12,-1,-1,"Ambiguous/Ambiguous"
"35","E4I35D1",1,"Native 17","Native","Experimental","Unambiguous","Different",13,1,-1,"Unambiguous/Unambiguous"
"33","E2I33D1",1,"Native 17","Native","Experimental","Ambiguous","Same",14,-1,-1,"Unambiguous/Ambiguous"
"34","E3I34D1",1,"Native 17","Native","Experimental","Ambiguous","Same",15,-1,-1,"Ambiguous/Ambiguous"
"32","E1I32D1",1,"Native 17","Native","Experimental","Unambiguous","Same",16,-1,-1,"Unambiguous/Unambiguous"
"31","E6I31D1",1,"Native 17","Native","Experimental","Ambiguous","Different",17,1,-1,"Ambiguous/Ambiguous"
"36","E5I36D1",0,"Native 17","Native","Experimental","Ambiguous","Different",18,1,-1,"Unambiguous/Ambiguous"
"1","E6I1D1",1,"Native 17","Native","Experimental","Ambiguous","Different",19,1,-1,"Ambiguous/Ambiguous"
"4","E3I4D1",1,"Native 17","Native","Experimental","Ambiguous","Same",20,-1,-1,"Ambiguous/Ambiguous"
"5","E4I5D1",1,"Native 17","Native","Experimental","Unambiguous","Different",21,1,-1,"Unambiguous/Unambiguous"
"6","E5I6D1",1,"Native 17","Native","Experimental","Ambiguous","Different",22,1,-1,"Unambiguous/Ambiguous"
"3","E2I3D1",1,"Native 17","Native","Experimental","Ambiguous","Same",23,-1,-1,"Unambiguous/Ambiguous"
"2","E1I2D1",1,"Native 17","Native","Experimental","Unambiguous","Same",24,-1,-1,"Unambiguous/Unambiguous"
"11","E4I11D1",1,"Native 17","Native","Experimental","Unambiguous","Different",25,1,-1,"Unambiguous/Unambiguous"
"12","E5I12D1",1,"Native 17","Native","Experimental","Ambiguous","Different",26,1,-1,"Unambiguous/Ambiguous"
"9","E2I9D1",1,"Native 17","Native","Experimental","Ambiguous","Same",27,-1,-1,"Unambiguous/Ambiguous"
"8","E1I8D1",1,"Native 17","Native","Experimental","Unambiguous","Same",28,-1,-1,"Unambiguous/Unambiguous"
"10","E3I10D1",1,"Native 17","Native","Experimental","Ambiguous","Same",29,-1,-1,"Ambiguous/Ambiguous"
"7","E6I7D1",1,"Native 17","Native","Experimental","Ambiguous","Different",30,1,-1,"Ambiguous/Ambiguous"
"17","E4I17D1",1,"Native 17","Native","Experimental","Unambiguous","Different",31,1,-1,"Unambiguous/Unambiguous"
"14","E1I14D1",1,"Native 17","Native","Experimental","Unambiguous","Same",32,-1,-1,"Unambiguous/Unambiguous"
"15","E2I15D1",0,"Native 17","Native","Experimental","Ambiguous","Same",33,-1,-1,"Unambiguous/Ambiguous"
"18","E5I18D1",1,"Native 17","Native","Experimental","Ambiguous","Different",34,1,-1,"Unambiguous/Ambiguous"
"16","E3I16D1",1,"Native 17","Native","Experimental","Ambiguous","Same",35,-1,-1,"Ambiguous/Ambiguous"
"13","E6I13D1",0,"Native 17","Native","Experimental","Ambiguous","Different",36,1,-1,"Ambiguous/Ambiguous"
"20","E1I20D1",1,"Native 18","Native","Experimental","Unambiguous","Same",1,-1,-1,"Unambiguous/Unambiguous"
"19","E6I19D1",1,"Native 18","Native","Experimental","Ambiguous","Different",2,1,-1,"Ambiguous/Ambiguous"
"24","E5I24D1",0,"Native 18","Native","Experimental","Ambiguous","Different",3,1,-1,"Unambiguous/Ambiguous"
"22","E3I22D1",0,"Native 18","Native","Experimental","Ambiguous","Same",4,-1,-1,"Ambiguous/Ambiguous"
"23","E4I23D1",1,"Native 18","Native","Experimental","Unambiguous","Different",5,1,-1,"Unambiguous/Unambiguous"
"21","E2I21D1",1,"Native 18","Native","Experimental","Ambiguous","Same",6,-1,-1,"Unambiguous/Ambiguous"
"25","E6I25D1",0,"Native 18","Native","Experimental","Ambiguous","Different",7,1,-1,"Ambiguous/Ambiguous"
"27","E2I27D1",1,"Native 18","Native","Experimental","Ambiguous","Same",8,-1,-1,"Unambiguous/Ambiguous"
"26","E1I26D1",1,"Native 18","Native","Experimental","Unambiguous","Same",9,-1,-1,"Unambiguous/Unambiguous"
"30","E5I30D1",1,"Native 18","Native","Experimental","Ambiguous","Different",10,1,-1,"Unambiguous/Ambiguous"
"29","E4I29D1",1,"Native 18","Native","Experimental","Unambiguous","Different",11,1,-1,"Unambiguous/Unambiguous"
"28","E3I28D1",0,"Native 18","Native","Experimental","Ambiguous","Same",12,-1,-1,"Ambiguous/Ambiguous"
"35","E4I35D1",1,"Native 18","Native","Experimental","Unambiguous","Different",13,1,-1,"Unambiguous/Unambiguous"
"33","E2I33D1",0,"Native 18","Native","Experimental","Ambiguous","Same",14,-1,-1,"Unambiguous/Ambiguous"
"34","E3I34D1",1,"Native 18","Native","Experimental","Ambiguous","Same",15,-1,-1,"Ambiguous/Ambiguous"
"32","E1I32D1",1,"Native 18","Native","Experimental","Unambiguous","Same",16,-1,-1,"Unambiguous/Unambiguous"
"31","E6I31D1",1,"Native 18","Native","Experimental","Ambiguous","Different",17,1,-1,"Ambiguous/Ambiguous"
"36","E5I36D1",1,"Native 18","Native","Experimental","Ambiguous","Different",18,1,-1,"Unambiguous/Ambiguous"
"1","E6I1D1",1,"Native 18","Native","Experimental","Ambiguous","Different",19,1,-1,"Ambiguous/Ambiguous"
"4","E3I4D1",1,"Native 18","Native","Experimental","Ambiguous","Same",20,-1,-1,"Ambiguous/Ambiguous"
"5","E4I5D1",1,"Native 18","Native","Experimental","Unambiguous","Different",21,1,-1,"Unambiguous/Unambiguous"
"6","E5I6D1",1,"Native 18","Native","Experimental","Ambiguous","Different",22,1,-1,"Unambiguous/Ambiguous"
"3","E2I3D1",1,"Native 18","Native","Experimental","Ambiguous","Same",23,-1,-1,"Unambiguous/Ambiguous"
"2","E1I2D1",1,"Native 18","Native","Experimental","Unambiguous","Same",24,-1,-1,"Unambiguous/Unambiguous"
"11","E4I11D1",1,"Native 18","Native","Experimental","Unambiguous","Different",25,1,-1,"Unambiguous/Unambiguous"
"12","E5I12D1",1,"Native 18","Native","Experimental","Ambiguous","Different",26,1,-1,"Unambiguous/Ambiguous"
"9","E2I9D1",1,"Native 18","Native","Experimental","Ambiguous","Same",27,-1,-1,"Unambiguous/Ambiguous"
"8","E1I8D1",1,"Native 18","Native","Experimental","Unambiguous","Same",28,-1,-1,"Unambiguous/Unambiguous"
"10","E3I10D1",0,"Native 18","Native","Experimental","Ambiguous","Same",29,-1,-1,"Ambiguous/Ambiguous"
"7","E6I7D1",1,"Native 18","Native","Experimental","Ambiguous","Different",30,1,-1,"Ambiguous/Ambiguous"
"17","E4I17D1",1,"Native 18","Native","Experimental","Unambiguous","Different",31,1,-1,"Unambiguous/Unambiguous"
"14","E1I14D1",1,"Native 18","Native","Experimental","Unambiguous","Same",32,-1,-1,"Unambiguous/Unambiguous"
"15","E2I15D1",1,"Native 18","Native","Experimental","Ambiguous","Same",33,-1,-1,"Unambiguous/Ambiguous"
"18","E5I18D1",1,"Native 18","Native","Experimental","Ambiguous","Different",34,1,-1,"Unambiguous/Ambiguous"
"16","E3I16D1",0,"Native 18","Native","Experimental","Ambiguous","Same",35,-1,-1,"Ambiguous/Ambiguous"
"13","E6I13D1",1,"Native 18","Native","Experimental","Ambiguous","Different",36,1,-1,"Ambiguous/Ambiguous"
"13","E1I13D1",0,"Native 19","Native","Experimental","Unambiguous","Same",1,-1,-1,"Unambiguous/Unambiguous"
"16","E4I16D1",1,"Native 19","Native","Experimental","Unambiguous","Different",2,1,-1,"Unambiguous/Unambiguous"
"18","E6I18D1",0,"Native 19","Native","Experimental","Ambiguous","Different",3,1,-1,"Ambiguous/Ambiguous"
"15","E3I15D1",1,"Native 19","Native","Experimental","Ambiguous","Same",4,-1,-1,"Ambiguous/Ambiguous"
"14","E2I14D1",0,"Native 19","Native","Experimental","Ambiguous","Same",5,-1,-1,"Unambiguous/Ambiguous"
"17","E5I17D1",1,"Native 19","Native","Experimental","Ambiguous","Different",6,1,-1,"Unambiguous/Ambiguous"
"7","E1I7D1",1,"Native 19","Native","Experimental","Unambiguous","Same",7,-1,-1,"Unambiguous/Unambiguous"
"10","E4I10D1",1,"Native 19","Native","Experimental","Unambiguous","Different",8,1,-1,"Unambiguous/Unambiguous"
"8","E2I8D1",0,"Native 19","Native","Experimental","Ambiguous","Same",9,-1,-1,"Unambiguous/Ambiguous"
"9","E3I9D1",1,"Native 19","Native","Experimental","Ambiguous","Same",10,-1,-1,"Ambiguous/Ambiguous"
"12","E6I12D1",0,"Native 19","Native","Experimental","Ambiguous","Different",11,1,-1,"Ambiguous/Ambiguous"
"11","E5I11D1",0,"Native 19","Native","Experimental","Ambiguous","Different",12,1,-1,"Unambiguous/Ambiguous"
"2","E2I2D1",1,"Native 19","Native","Experimental","Ambiguous","Same",13,-1,-1,"Unambiguous/Ambiguous"
"3","E3I3D1",0,"Native 19","Native","Experimental","Ambiguous","Same",14,-1,-1,"Ambiguous/Ambiguous"
"6","E6I6D1",0,"Native 19","Native","Experimental","Ambiguous","Different",15,1,-1,"Ambiguous/Ambiguous"
"5","E5I5D1",0,"Native 19","Native","Experimental","Ambiguous","Different",16,1,-1,"Unambiguous/Ambiguous"
"4","E4I4D1",1,"Native 19","Native","Experimental","Unambiguous","Different",17,1,-1,"Unambiguous/Unambiguous"
"1","E1I1D1",1,"Native 19","Native","Experimental","Unambiguous","Same",18,-1,-1,"Unambiguous/Unambiguous"
"36","E6I36D1",0,"Native 19","Native","Experimental","Ambiguous","Different",19,1,-1,"Ambiguous/Ambiguous"
"31","E1I31D1",1,"Native 19","Native","Experimental","Unambiguous","Same",20,-1,-1,"Unambiguous/Unambiguous"
"32","E2I32D1",1,"Native 19","Native","Experimental","Ambiguous","Same",21,-1,-1,"Unambiguous/Ambiguous"
"34","E4I34D1",1,"Native 19","Native","Experimental","Unambiguous","Different",22,1,-1,"Unambiguous/Unambiguous"
"33","E3I33D1",0,"Native 19","Native","Experimental","Ambiguous","Same",23,-1,-1,"Ambiguous/Ambiguous"
"35","E5I35D1",0,"Native 19","Native","Experimental","Ambiguous","Different",24,1,-1,"Unambiguous/Ambiguous"
"28","E4I28D1",1,"Native 19","Native","Experimental","Unambiguous","Different",25,1,-1,"Unambiguous/Unambiguous"
"29","E5I29D1",1,"Native 19","Native","Experimental","Ambiguous","Different",26,1,-1,"Unambiguous/Ambiguous"
"30","E6I30D1",1,"Native 19","Native","Experimental","Ambiguous","Different",27,1,-1,"Ambiguous/Ambiguous"
"26","E2I26D1",1,"Native 19","Native","Experimental","Ambiguous","Same",28,-1,-1,"Unambiguous/Ambiguous"
"27","E3I27D1",0,"Native 19","Native","Experimental","Ambiguous","Same",29,-1,-1,"Ambiguous/Ambiguous"
"25","E1I25D1",1,"Native 19","Native","Experimental","Unambiguous","Same",30,-1,-1,"Unambiguous/Unambiguous"
"21","E3I21D1",1,"Native 19","Native","Experimental","Ambiguous","Same",31,-1,-1,"Ambiguous/Ambiguous"
"23","E5I23D1",0,"Native 19","Native","Experimental","Ambiguous","Different",32,1,-1,"Unambiguous/Ambiguous"
"22","E4I22D1",1,"Native 19","Native","Experimental","Unambiguous","Different",33,1,-1,"Unambiguous/Unambiguous"
"24","E6I24D1",1,"Native 19","Native","Experimental","Ambiguous","Different",34,1,-1,"Ambiguous/Ambiguous"
"19","E1I19D1",1,"Native 19","Native","Experimental","Unambiguous","Same",35,-1,-1,"Unambiguous/Unambiguous"
"20","E2I20D1",1,"Native 19","Native","Experimental","Ambiguous","Same",36,-1,-1,"Unambiguous/Ambiguous"
"13","E1I13D1",1,"Native 20","Native","Experimental","Unambiguous","Same",1,-1,-1,"Unambiguous/Unambiguous"
"16","E4I16D1",1,"Native 20","Native","Experimental","Unambiguous","Different",2,1,-1,"Unambiguous/Unambiguous"
"18","E6I18D1",1,"Native 20","Native","Experimental","Ambiguous","Different",3,1,-1,"Ambiguous/Ambiguous"
"15","E3I15D1",1,"Native 20","Native","Experimental","Ambiguous","Same",4,-1,-1,"Ambiguous/Ambiguous"
"14","E2I14D1",1,"Native 20","Native","Experimental","Ambiguous","Same",5,-1,-1,"Unambiguous/Ambiguous"
"17","E5I17D1",1,"Native 20","Native","Experimental","Ambiguous","Different",6,1,-1,"Unambiguous/Ambiguous"
"7","E1I7D1",1,"Native 20","Native","Experimental","Unambiguous","Same",7,-1,-1,"Unambiguous/Unambiguous"
"10","E4I10D1",1,"Native 20","Native","Experimental","Unambiguous","Different",8,1,-1,"Unambiguous/Unambiguous"
"8","E2I8D1",1,"Native 20","Native","Experimental","Ambiguous","Same",9,-1,-1,"Unambiguous/Ambiguous"
"9","E3I9D1",1,"Native 20","Native","Experimental","Ambiguous","Same",10,-1,-1,"Ambiguous/Ambiguous"
"12","E6I12D1",1,"Native 20","Native","Experimental","Ambiguous","Different",11,1,-1,"Ambiguous/Ambiguous"
"11","E5I11D1",1,"Native 20","Native","Experimental","Ambiguous","Different",12,1,-1,"Unambiguous/Ambiguous"
"2","E2I2D1",1,"Native 20","Native","Experimental","Ambiguous","Same",13,-1,-1,"Unambiguous/Ambiguous"
"3","E3I3D1",1,"Native 20","Native","Experimental","Ambiguous","Same",14,-1,-1,"Ambiguous/Ambiguous"
"6","E6I6D1",1,"Native 20","Native","Experimental","Ambiguous","Different",15,1,-1,"Ambiguous/Ambiguous"
"5","E5I5D1",1,"Native 20","Native","Experimental","Ambiguous","Different",16,1,-1,"Unambiguous/Ambiguous"
"4","E4I4D1",1,"Native 20","Native","Experimental","Unambiguous","Different",17,1,-1,"Unambiguous/Unambiguous"
"1","E1I1D1",1,"Native 20","Native","Experimental","Unambiguous","Same",18,-1,-1,"Unambiguous/Unambiguous"
"36","E6I36D1",1,"Native 20","Native","Experimental","Ambiguous","Different",19,1,-1,"Ambiguous/Ambiguous"
"31","E1I31D1",1,"Native 20","Native","Experimental","Unambiguous","Same",20,-1,-1,"Unambiguous/Unambiguous"
"32","E2I32D1",1,"Native 20","Native","Experimental","Ambiguous","Same",21,-1,-1,"Unambiguous/Ambiguous"
"34","E4I34D1",1,"Native 20","Native","Experimental","Unambiguous","Different",22,1,-1,"Unambiguous/Unambiguous"
"33","E3I33D1",1,"Native 20","Native","Experimental","Ambiguous","Same",23,-1,-1,"Ambiguous/Ambiguous"
"35","E5I35D1",1,"Native 20","Native","Experimental","Ambiguous","Different",24,1,-1,"Unambiguous/Ambiguous"
"28","E4I28D1",1,"Native 20","Native","Experimental","Unambiguous","Different",25,1,-1,"Unambiguous/Unambiguous"
"29","E5I29D1",1,"Native 20","Native","Experimental","Ambiguous","Different",26,1,-1,"Unambiguous/Ambiguous"
"30","E6I30D1",1,"Native 20","Native","Experimental","Ambiguous","Different",27,1,-1,"Ambiguous/Ambiguous"
"26","E2I26D1",1,"Native 20","Native","Experimental","Ambiguous","Same",28,-1,-1,"Unambiguous/Ambiguous"
"27","E3I27D1",1,"Native 20","Native","Experimental","Ambiguous","Same",29,-1,-1,"Ambiguous/Ambiguous"
"25","E1I25D1",1,"Native 20","Native","Experimental","Unambiguous","Same",30,-1,-1,"Unambiguous/Unambiguous"
"21","E3I21D1",1,"Native 20","Native","Experimental","Ambiguous","Same",31,-1,-1,"Ambiguous/Ambiguous"
"23","E5I23D1",1,"Native 20","Native","Experimental","Ambiguous","Different",32,1,-1,"Unambiguous/Ambiguous"
"22","E4I22D1",1,"Native 20","Native","Experimental","Unambiguous","Different",33,1,-1,"Unambiguous/Unambiguous"
"24","E6I24D1",1,"Native 20","Native","Experimental","Ambiguous","Different",34,1,-1,"Ambiguous/Ambiguous"
"19","E1I19D1",1,"Native 20","Native","Experimental","Unambiguous","Same",35,-1,-1,"Unambiguous/Unambiguous"
"20","E2I20D1",1,"Native 20","Native","Experimental","Ambiguous","Same",36,-1,-1,"Unambiguous/Ambiguous"
"1","E1I1D1",0,"Native 21","Native","Experimental","Unambiguous","Same",1,-1,-1,"Unambiguous/Unambiguous"
"4","E4I4D1",1,"Native 21","Native","Experimental","Unambiguous","Different",2,1,-1,"Unambiguous/Unambiguous"
"5","E5I5D1",1,"Native 21","Native","Experimental","Ambiguous","Different",3,1,-1,"Unambiguous/Ambiguous"
"6","E6I6D1",0,"Native 21","Native","Experimental","Ambiguous","Different",4,1,-1,"Ambiguous/Ambiguous"
"3","E3I3D1",0,"Native 21","Native","Experimental","Ambiguous","Same",5,-1,-1,"Ambiguous/Ambiguous"
"2","E2I2D1",0,"Native 21","Native","Experimental","Ambiguous","Same",6,-1,-1,"Unambiguous/Ambiguous"
"11","E5I11D1",1,"Native 21","Native","Experimental","Ambiguous","Different",7,1,-1,"Unambiguous/Ambiguous"
"12","E6I12D1",1,"Native 21","Native","Experimental","Ambiguous","Different",8,1,-1,"Ambiguous/Ambiguous"
"9","E3I9D1",1,"Native 21","Native","Experimental","Ambiguous","Same",9,-1,-1,"Ambiguous/Ambiguous"
"8","E2I8D1",1,"Native 21","Native","Experimental","Ambiguous","Same",10,-1,-1,"Unambiguous/Ambiguous"
"10","E4I10D1",1,"Native 21","Native","Experimental","Unambiguous","Different",11,1,-1,"Unambiguous/Unambiguous"
"7","E1I7D1",0,"Native 21","Native","Experimental","Unambiguous","Same",12,-1,-1,"Unambiguous/Unambiguous"
"17","E5I17D1",0,"Native 21","Native","Experimental","Ambiguous","Different",13,1,-1,"Unambiguous/Ambiguous"
"14","E2I14D1",1,"Native 21","Native","Experimental","Ambiguous","Same",14,-1,-1,"Unambiguous/Ambiguous"
"15","E3I15D1",1,"Native 21","Native","Experimental","Ambiguous","Same",15,-1,-1,"Ambiguous/Ambiguous"
"18","E6I18D1",1,"Native 21","Native","Experimental","Ambiguous","Different",16,1,-1,"Ambiguous/Ambiguous"
"16","E4I16D1",1,"Native 21","Native","Experimental","Unambiguous","Different",17,1,-1,"Unambiguous/Unambiguous"
"13","E1I13D1",1,"Native 21","Native","Experimental","Unambiguous","Same",18,-1,-1,"Unambiguous/Unambiguous"
"20","E2I20D1",1,"Native 21","Native","Experimental","Ambiguous","Same",19,-1,-1,"Unambiguous/Ambiguous"
"19","E1I19D1",1,"Native 21","Native","Experimental","Unambiguous","Same",20,-1,-1,"Unambiguous/Unambiguous"
"24","E6I24D1",1,"Native 21","Native","Experimental","Ambiguous","Different",21,1,-1,"Ambiguous/Ambiguous"
"22","E4I22D1",1,"Native 21","Native","Experimental","Unambiguous","Different",22,1,-1,"Unambiguous/Unambiguous"
"23","E5I23D1",1,"Native 21","Native","Experimental","Ambiguous","Different",23,1,-1,"Unambiguous/Ambiguous"
"21","E3I21D1",1,"Native 21","Native","Experimental","Ambiguous","Same",24,-1,-1,"Ambiguous/Ambiguous"
"25","E1I25D1",1,"Native 21","Native","Experimental","Unambiguous","Same",25,-1,-1,"Unambiguous/Unambiguous"
"27","E3I27D1",1,"Native 21","Native","Experimental","Ambiguous","Same",26,-1,-1,"Ambiguous/Ambiguous"
"26","E2I26D1",1,"Native 21","Native","Experimental","Ambiguous","Same",27,-1,-1,"Unambiguous/Ambiguous"
"30","E6I30D1",1,"Native 21","Native","Experimental","Ambiguous","Different",28,1,-1,"Ambiguous/Ambiguous"
"29","E5I29D1",1,"Native 21","Native","Experimental","Ambiguous","Different",29,1,-1,"Unambiguous/Ambiguous"
"28","E4I28D1",1,"Native 21","Native","Experimental","Unambiguous","Different",30,1,-1,"Unambiguous/Unambiguous"
"35","E5I35D1",1,"Native 21","Native","Experimental","Ambiguous","Different",31,1,-1,"Unambiguous/Ambiguous"
"33","E3I33D1",1,"Native 21","Native","Experimental","Ambiguous","Same",32,-1,-1,"Ambiguous/Ambiguous"
"34","E4I34D1",1,"Native 21","Native","Experimental","Unambiguous","Different",33,1,-1,"Unambiguous/Unambiguous"
"32","E2I32D1",1,"Native 21","Native","Experimental","Ambiguous","Same",34,-1,-1,"Unambiguous/Ambiguous"
"31","E1I31D1",1,"Native 21","Native","Experimental","Unambiguous","Same",35,-1,-1,"Unambiguous/Unambiguous"
"36","E6I36D1",1,"Native 21","Native","Experimental","Ambiguous","Different",36,1,-1,"Ambiguous/Ambiguous"
"1","E1I1D1",0,"Native 22","Native","Experimental","Unambiguous","Same",1,-1,-1,"Unambiguous/Unambiguous"
"4","E4I4D1",1,"Native 22","Native","Experimental","Unambiguous","Different",2,1,-1,"Unambiguous/Unambiguous"
"5","E5I5D1",0,"Native 22","Native","Experimental","Ambiguous","Different",3,1,-1,"Unambiguous/Ambiguous"
"6","E6I6D1",0,"Native 22","Native","Experimental","Ambiguous","Different",4,1,-1,"Ambiguous/Ambiguous"
"3","E3I3D1",1,"Native 22","Native","Experimental","Ambiguous","Same",5,-1,-1,"Ambiguous/Ambiguous"
"2","E2I2D1",1,"Native 22","Native","Experimental","Ambiguous","Same",6,-1,-1,"Unambiguous/Ambiguous"
"11","E5I11D1",1,"Native 22","Native","Experimental","Ambiguous","Different",7,1,-1,"Unambiguous/Ambiguous"
"12","E6I12D1",1,"Native 22","Native","Experimental","Ambiguous","Different",8,1,-1,"Ambiguous/Ambiguous"
"9","E3I9D1",1,"Native 22","Native","Experimental","Ambiguous","Same",9,-1,-1,"Ambiguous/Ambiguous"
"8","E2I8D1",1,"Native 22","Native","Experimental","Ambiguous","Same",10,-1,-1,"Unambiguous/Ambiguous"
"10","E4I10D1",1,"Native 22","Native","Experimental","Unambiguous","Different",11,1,-1,"Unambiguous/Unambiguous"
"7","E1I7D1",1,"Native 22","Native","Experimental","Unambiguous","Same",12,-1,-1,"Unambiguous/Unambiguous"
"17","E5I17D1",1,"Native 22","Native","Experimental","Ambiguous","Different",13,1,-1,"Unambiguous/Ambiguous"
"14","E2I14D1",1,"Native 22","Native","Experimental","Ambiguous","Same",14,-1,-1,"Unambiguous/Ambiguous"
"15","E3I15D1",1,"Native 22","Native","Experimental","Ambiguous","Same",15,-1,-1,"Ambiguous/Ambiguous"
"18","E6I18D1",1,"Native 22","Native","Experimental","Ambiguous","Different",16,1,-1,"Ambiguous/Ambiguous"
"16","E4I16D1",1,"Native 22","Native","Experimental","Unambiguous","Different",17,1,-1,"Unambiguous/Unambiguous"
"13","E1I13D1",1,"Native 22","Native","Experimental","Unambiguous","Same",18,-1,-1,"Unambiguous/Unambiguous"
"20","E2I20D1",1,"Native 22","Native","Experimental","Ambiguous","Same",19,-1,-1,"Unambiguous/Ambiguous"
"19","E1I19D1",1,"Native 22","Native","Experimental","Unambiguous","Same",20,-1,-1,"Unambiguous/Unambiguous"
"24","E6I24D1",1,"Native 22","Native","Experimental","Ambiguous","Different",21,1,-1,"Ambiguous/Ambiguous"
"22","E4I22D1",1,"Native 22","Native","Experimental","Unambiguous","Different",22,1,-1,"Unambiguous/Unambiguous"
"23","E5I23D1",1,"Native 22","Native","Experimental","Ambiguous","Different",23,1,-1,"Unambiguous/Ambiguous"
"21","E3I21D1",1,"Native 22","Native","Experimental","Ambiguous","Same",24,-1,-1,"Ambiguous/Ambiguous"
"25","E1I25D1",1,"Native 22","Native","Experimental","Unambiguous","Same",25,-1,-1,"Unambiguous/Unambiguous"
"27","E3I27D1",1,"Native 22","Native","Experimental","Ambiguous","Same",26,-1,-1,"Ambiguous/Ambiguous"
"26","E2I26D1",0,"Native 22","Native","Experimental","Ambiguous","Same",27,-1,-1,"Unambiguous/Ambiguous"
"30","E6I30D1",1,"Native 22","Native","Experimental","Ambiguous","Different",28,1,-1,"Ambiguous/Ambiguous"
"29","E5I29D1",1,"Native 22","Native","Experimental","Ambiguous","Different",29,1,-1,"Unambiguous/Ambiguous"
"28","E4I28D1",1,"Native 22","Native","Experimental","Unambiguous","Different",30,1,-1,"Unambiguous/Unambiguous"
"35","E5I35D1",1,"Native 22","Native","Experimental","Ambiguous","Different",31,1,-1,"Unambiguous/Ambiguous"
"33","E3I33D1",1,"Native 22","Native","Experimental","Ambiguous","Same",32,-1,-1,"Ambiguous/Ambiguous"
"34","E4I34D1",1,"Native 22","Native","Experimental","Unambiguous","Different",33,1,-1,"Unambiguous/Unambiguous"
"32","E2I32D1",1,"Native 22","Native","Experimental","Ambiguous","Same",34,-1,-1,"Unambiguous/Ambiguous"
"31","E1I31D1",1,"Native 22","Native","Experimental","Unambiguous","Same",35,-1,-1,"Unambiguous/Unambiguous"
"36","E6I36D1",1,"Native 22","Native","Experimental","Ambiguous","Different",36,1,-1,"Ambiguous/Ambiguous"
"13","E2I13D1",1,"Native 23","Native","Experimental","Ambiguous","Same",1,-1,-1,"Unambiguous/Ambiguous"
"16","E5I16D1",1,"Native 23","Native","Experimental","Ambiguous","Different",2,1,-1,"Unambiguous/Ambiguous"
"18","E1I18D1",1,"Native 23","Native","Experimental","Unambiguous","Same",3,-1,-1,"Unambiguous/Unambiguous"
"15","E4I15D1",1,"Native 23","Native","Experimental","Unambiguous","Different",4,1,-1,"Unambiguous/Unambiguous"
"14","E3I14D1",1,"Native 23","Native","Experimental","Ambiguous","Same",5,-1,-1,"Ambiguous/Ambiguous"
"17","E6I17D1",1,"Native 23","Native","Experimental","Ambiguous","Different",6,1,-1,"Ambiguous/Ambiguous"
"7","E2I7D1",1,"Native 23","Native","Experimental","Ambiguous","Same",7,-1,-1,"Unambiguous/Ambiguous"
"10","E5I10D1",1,"Native 23","Native","Experimental","Ambiguous","Different",8,1,-1,"Unambiguous/Ambiguous"
"8","E3I8D1",1,"Native 23","Native","Experimental","Ambiguous","Same",9,-1,-1,"Ambiguous/Ambiguous"
"9","E4I9D1",1,"Native 23","Native","Experimental","Unambiguous","Different",10,1,-1,"Unambiguous/Unambiguous"
"12","E1I12D1",1,"Native 23","Native","Experimental","Unambiguous","Same",11,-1,-1,"Unambiguous/Unambiguous"
"11","E6I11D1",1,"Native 23","Native","Experimental","Ambiguous","Different",12,1,-1,"Ambiguous/Ambiguous"
"2","E3I2D1",1,"Native 23","Native","Experimental","Ambiguous","Same",13,-1,-1,"Ambiguous/Ambiguous"
